<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
LRCX,20170118,109.959999,111.290001,109.33000200000001,111.239998,1715600
LRCX,20170117,110.33000200000001,110.599998,108.459999,109.099998,1502700
LRCX,20170113,108.709999,111.099998,108.629997,110.540001,1498600
LRCX,20170112,108.739998,108.739998,106.800003,108.16999799999999,996200
LRCX,20170111,108.68,109.0,107.769997,108.989998,1271800
LRCX,20170110,108.970001,108.989998,107.779999,108.470001,1317700
LRCX,20170109,107.800003,109.849998,107.790001,108.860001,1438800
LRCX,20170106,106.879997,107.879997,106.08000200000001,107.599998,1203600
LRCX,20170105,107.519997,108.779999,107.07,107.08000200000001,1634300
LRCX,20170104,107.610001,108.110001,106.910004,107.32,1297400
LRCX,20170103,106.68,108.559998,105.790001,107.260002,1937200
LRCX,20161230,107.889999,109.970001,105.300003,105.730003,897900
LRCX,20161229,107.480003,107.519997,106.379997,107.150002,908000
LRCX,20161228,109.900002,110.349998,107.510002,107.57,1096300
LRCX,20161227,108.540001,109.550003,108.279999,109.029999,793700
LRCX,20161223,107.41999799999999,108.120003,107.059998,108.059998,1000300
LRCX,20161222,106.870003,108.190002,106.849998,107.690002,1386500
LRCX,20161221,106.68,107.5,106.410004,106.480003,1167600
LRCX,20161220,108.190002,108.190002,106.510002,106.849998,1310300
LRCX,20161219,106.730003,108.599998,106.529999,106.989998,2222700
LRCX,20161216,106.099998,106.879997,104.279999,104.449997,2516100
LRCX,20161215,104.620003,106.68,104.010002,106.120003,1437400
LRCX,20161214,103.980003,105.470001,103.66999799999999,104.440002,1409200
LRCX,20161213,104.160004,104.860001,103.709999,104.059998,1370600
LRCX,20161212,103.389999,104.379997,103.010002,103.629997,1261600
LRCX,20161209,106.559998,107.199997,103.230003,104.089996,2227600
LRCX,20161208,106.099998,107.639999,105.75,107.150002,1261300
LRCX,20161207,102.989998,106.550003,102.690002,106.550003,2780000
LRCX,20161206,103.980003,103.980003,101.879997,103.050003,2420400
LRCX,20161205,101.41999799999999,102.800003,100.58000200000001,102.400002,2987300
LRCX,20161202,99.190002,101.519997,98.349998,100.489998,2844200
LRCX,20161201,105.650002,105.720001,97.790001,98.58000200000001,6759500
LRCX,20161130,107.550003,107.989998,106.0,106.019997,1876700
LRCX,20161129,107.290001,108.199997,106.57,107.57,2270900
LRCX,20161128,107.41999799999999,108.040001,106.690002,106.769997,2046300
LRCX,20161125,106.949997,107.720001,106.309998,107.540001,789600
LRCX,20161123,106.699997,107.059998,105.699997,106.949997,1455300
LRCX,20161122,106.879997,107.370003,106.07,106.709999,1979600
LRCX,20161121,104.910004,106.290001,104.660004,106.239998,2135900
LRCX,20161118,103.440002,107.25,103.139999,104.709999,3709500
LRCX,20161117,101.58000200000001,103.849998,100.720001,103.800003,1839400
LRCX,20161116,100.769997,101.290001,100.08000200000001,101.239998,1291900
